local_time,timestamp,aqi,pm25,pm10,co,no2,o3,t,h,p,w
2025-07-16 17:10:00,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:10:11,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:10:21,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:10:32,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:10:42,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:10:53,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:11:03,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:11:13,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:11:24,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:11:34,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:11:45,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:11:56,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:12:06,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:12:17,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:12:27,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:12:37,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:12:48,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:12:58,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:13:13,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:13:23,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:13:34,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:13:44,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:13:55,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:14:05,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:14:16,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:14:26,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:14:37,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:14:47,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:14:57,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:15:08,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:15:18,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:15:29,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:15:39,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:15:50,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:16:00,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:16:11,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:16:21,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:16:32,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:16:42,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:16:53,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:17:03,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:17:13,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:17:24,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:17:34,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:17:45,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:17:55,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:18:06,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:18:16,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:18:27,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:18:37,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:18:48,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:18:58,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:19:09,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:19:19,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:19:30,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:19:40,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:19:51,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:20:01,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:20:11,2025-07-16 16:00:00,51,51,,0.1,,,33,75,1000,1.5
2025-07-16 17:20:22,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:20:32,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:20:42,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:20:53,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:21:03,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:21:14,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:21:24,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:21:35,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:21:45,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:21:56,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:22:06,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:22:17,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:22:28,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:22:38,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:22:49,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:22:59,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:23:10,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
2025-07-16 17:23:20,2025-07-16 17:00:00,37,37,,0.1,,,32,79,1000,1.5
